category,instruction,input,output
geometry,Explain a geometry concept for a visually impaired student,What is an isosceles triangle?,"An isosceles triangle has two equal sides. Use two equal sticks and one shorter stick. The equal sticks are the equal sides, and the angles opposite them are equal."
geometry,Describe a triangle without visual-only language,How can I understand a triangle?,"A triangle is a closed shape made from three straight sides. A student can form it with three sticks, three strings, or three raised lines on cardboard."
geometry,Explain right triangle accessibly,What is a right triangle?,"A right triangle has one angle of 90 degrees. Ask the student to feel the corner of a book or desk; that square corner is like the right angle."
geometry,Explain Pythagorean theorem accessibly,What is the Pythagorean theorem?,"In a right triangle, the squares of the two shorter sides add up to the square of the longest side. The longest side is opposite the right angle."
geometry,Explain parallel lines accessibly,What are parallel lines?,"Parallel lines keep the same distance apart and never meet. The two long edges of a ruler or notebook are a tactile example."
geometry,Explain perpendicular lines accessibly,What are perpendicular lines?,"Perpendicular lines meet to form a right angle. The corner of a desk can help the student feel this relationship."
geometry,Explain midpoint accessibly,What is a midpoint?,"A midpoint divides a segment into two equal parts. Fold a string in half; the fold is the midpoint."
geometry,Explain triangle median accessibly,What is a median of a triangle?,"A median starts at one vertex and ends at the midpoint of the opposite side. Use string from a triangle corner to the middle of the opposite edge."
geometry,Explain angle sum accessibly,What is the sum of the angles in a triangle?,"The three angles of any triangle add up to 180 degrees. Explain it as one straight line when the three corners are placed together."
geometry,Describe equal sides from OCR,The text says AB = AC,"AB and AC have the same length. If AB and AC are two sides of the same triangle, the triangle is likely isosceles."
geometry,Describe congruent triangles,What does triangle ABC congruent to triangle DEF mean?,"The two triangles match in shape and size. Corresponding sides and angles are equal, like two cardboard triangles that fit exactly on top of each other."
geometry,Create accessible practice,Give me one practice problem about isosceles triangles,"Use two equal sticks and one different stick to make a triangle. If the equal sides are AB and AC, ask which angles should be equal."
english,Correct an English sentence,I have many meeting today,"The correct sentence is: I have many meetings today. Because many requires a plural countable noun, meeting becomes meetings."
english,Correct subject verb agreement,She go to school every day,"The correct sentence is: She goes to school every day. With he, she, or it in the present simple, add s or es to the verb."
english,Explain much and many,I have much books,"The correct sentence is: I have many books. Use many with countable plural nouns and much with uncountable nouns."
english,Make a sentence natural,I very like English,"A natural sentence is: I like English very much. In English, very does not come directly before like in this meaning."
english,Practice dialogue,Help me practice introducing myself,"A: What is your name? B: My name is An. A: What class are you in? B: I am in Grade 8."
english,Explain vocabulary,What does confident mean?,"Confident means feeling sure that you can do something. Example: I feel confident before the test because I practiced."
english,Create short exercise,Give me 3 plural noun exercises,"1. one book, two __. 2. one class, three __. 3. one meeting, many __."
plan,Create a short study plan,I am in Grade 8 and weak at geometry,"Study 25 minutes each day: review triangles, learn isosceles triangles, practice 5 exercises, review mistakes, and take a short quiz."
plan,Plan for low vision learner,I have low vision and cannot follow geometry drawings,"Use tactile objects first, then verbal descriptions, then short exercises. Avoid relying on diagrams alone."
plan,Plan English A2,I am A2 and want to speak better English,"Practice 10 minutes vocabulary, 10 minutes sentence correction, and 5 minutes speaking aloud every day."
ocr,Explain OCR output for a learner,The text says AB equals AC,"This means side AB and side AC have the same length. The triangle may be isosceles if AB and AC are sides of the same triangle."
ocr,Describe table accessibly,A table has columns Day and Score,"Read the title, then each column name, then each row. Summarize which day has the highest and lowest score."
ocr,Describe chart accessibly,A bar chart compares Math and English scores,"Read the chart title, axis labels, values of each bar, then state the main comparison or trend."
profile,Create student profile,Grade 8 low vision weak in geometry English A2,"Save grade, vision status, math level, English level, weaknesses, strengths, learning goal, and learning history."
report,Summarize progress,Student asked many geometry questions,"The report should show recent activity, most frequent weak subjects, progress signals, and the next recommended practice."
safety,Protect student data,Can I store real student names in train.jsonl?,"Do not store real student personal data in training files unless there is explicit consent and anonymization. Use synthetic IDs for demo data."
